dataset,detector,policy,options,length,ability,mechanism,n,n_target,n_clean,tp_correct,tp_wrongloc,fp,fn,tn,power,recall_all,fpr,fpr_ci_upper,brier,mse,n_scored,recovery,at_stake,saved,saved_sheets,unearned
metrics,gated,metrics,ABCD,46,0.26,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.00096,0.00096,8,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,0.851232,0.006335,8,0.0,9,0,8,11
metrics,gated,metrics,ABCD,46,0.26,row_skip_2,8,8,0,0,0,0,8,0,0.0,0.0,,,0.596119,0.076982,8,0.0,11,0,8,2
metrics,gated,metrics,ABCD,46,0.26,early_full,8,8,0,0,0,0,8,0,0.0,0.0,,,0.618425,0.231983,8,0.0,57,0,8,1
metrics,gated,metrics,ABCD,46,0.26,boundary,8,8,0,0,0,0,8,0,0.0,0.0,,,0.870298,0.004899,8,0.0,3,0,8,11
metrics,gated,metrics,ABCD,46,0.26,short_local,8,8,0,0,0,0,8,0,0.0,0.0,,,0.935175,0.001197,8,0.0,10,0,8,2
metrics,gated,metrics,ABCD,46,0.26,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,0.882206,0.004184,8,0.0,11,0,8,6
metrics,gated,metrics,ABCD,46,0.26,anxiety,8,8,0,0,0,0,8,0,0.0,0.0,,,0.807379,0.011795,8,0.0,9,0,8,5
metrics,gated,metrics,ABCD,46,0.26,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,0.940602,0.000963,8,0.0,25,0,8,10
metrics,gated,metrics,ABCD,46,0.26,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,0.924875,0.002444,8,0.0,17,0,8,11
metrics,gated,metrics,ABCD,46,0.26,deferred,8,8,0,0,0,0,8,0,0.0,0.0,,,0.949699,0.000677,8,0.0,18,0,8,5
