dataset,detector,policy,options,length,ability,mechanism,n,n_target,n_clean,tp_correct,tp_wrongloc,fp,fn,tn,power,recall_all,fpr,fpr_ci_upper,brier,mse,recovery,at_stake,saved,saved_sheets,unearned
metrics,gated,metrics,ABCD,46,0.26,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.000376,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,0.99907,0.000465,0.0,9,0,8,13
metrics,gated,metrics,ABCD,46,0.26,row_skip_2,8,8,0,0,0,0,8,0,0.0,0.0,,,0.999065,0.000468,0.0,11,0,8,3
metrics,gated,metrics,ABCD,46,0.26,early_full,8,8,0,0,0,0,8,0,0.0,0.0,,,0.8456,0.095196,0.0,54,0,8,1
metrics,gated,metrics,ABCD,46,0.26,boundary,8,8,0,0,0,0,8,0,0.0,0.0,,,0.999179,0.000411,0.0,2,0,8,12
metrics,gated,metrics,ABCD,46,0.26,short_local,8,8,0,0,0,0,8,0,0.0,0.0,,,0.998992,0.000504,0.0,10,0,8,2
metrics,gated,metrics,ABCD,46,0.26,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,0.99927,0.000365,0.0,10,0,8,6
metrics,gated,metrics,ABCD,46,0.26,anxiety,8,8,0,0,0,0,8,0,0.0,0.0,,,0.998972,0.000514,0.0,7,0,8,5
metrics,gated,metrics,ABCD,46,0.26,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,0.998177,0.000912,0.0,25,0,8,10
metrics,gated,metrics,ABCD,46,0.26,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,0.998342,0.00083,0.0,17,0,8,11
metrics,gated,metrics,ABCD,46,0.26,deferred,8,8,0,0,0,0,8,0,0.0,0.0,,,0.999246,0.000377,0.0,18,0,8,5
metrics,gated,metrics,ABCD,46,0.26,isolated,8,8,0,0,0,0,8,0,0.0,0.0,,,0.999085,0.000458,0.0,3,0,8,2
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,0.087305,0.725388,0.0,15,0,8,8
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_2,8,8,0,0,0,0,8,0,0.0,0.0,,,0.005164,0.965268,0.0,32,0,8,9
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_1,8,8,0,0,1,0,7,0,0.0,0.125,,,0.377159,0.437845,0.678571,28,19,8,10
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_2,8,8,0,0,0,0,8,0,0.0,0.0,,,0.000477,0.983613,0.0,13,0,8,13
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_1,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.000463,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_4,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.000505,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_1,8,0,8,0,0,0,0,8,,,0.0,0.312344,1e-06,0.000848,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_4,8,0,8,0,0,0,0,8,,,0.0,0.312344,6e-06,0.002412,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.26,scanner_double_4,8,0,8,0,0,0,0,8,,,0.0,0.312344,2.6e-05,0.004198,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.26,adv_long_runs,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.00046,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.26,adv_favourite,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.000123,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.26,adv_easy_block,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.000335,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.26,adv_key_leakage,8,8,0,0,0,0,8,0,0.0,0.0,,,4e-05,0.997059,0.0,267,0,8,0
metrics,gated,metrics,ABCD,46,0.26,adv_cycle,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.000566,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.4,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.000368,,0,0,8,0
metrics,gated,metrics,ABCD,46,0.4,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,0.997641,0.001181,0.0,14,0,8,3
metrics,gated,metrics,ABCD,46,0.4,row_skip_2,8,8,0,0,0,0,8,0,0.0,0.0,,,0.998652,0.000674,0.0,23,0,8,6
metrics,gated,metrics,ABCD,46,0.4,early_full,8,8,0,0,0,0,8,0,0.0,0.0,,,0.870597,0.115921,0.0,50,0,8,3
metrics,gated,metrics,ABCD,46,0.4,boundary,8,8,0,0,0,0,8,0,0.0,0.0,,,0.998661,0.00067,0.0,9,0,8,2
metrics,gated,metrics,ABCD,46,0.4,short_local,8,8,0,0,0,0,8,0,0.0,0.0,,,0.998342,0.00083,0.0,11,0,8,2
metrics,gated,metrics,ABCD,46,0.4,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,0.995896,0.002061,0.0,28,0,8,1
metrics,gated,metrics,ABCD,46,0.4,anxiety,8,8,0,0,0,0,8,0,0.0,0.0,,,0.984613,0.007926,0.0,18,0,8,13
metrics,gated,metrics,ABCD,46,0.4,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,0.998573,0.000714,0.0,23,0,8,10
metrics,gated,metrics,ABCD,46,0.4,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,0.997656,0.001173,0.0,24,0,8,5
