dataset,detector,policy,options,length,ability,mechanism,sheet_i,has_shift,accepted,matched,outcome,confidence,brier,mse,naive_score,true_score,final_score,at_stake,saved,withheld,unearned
metrics,gated,metrics,ABCD,46,0.26,none,0,0,0,0,TN,0.0003,0.0,0.0003,13,13,13,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,none,1,0,0,0,TN,0.000328,0.0,0.000328,11,11,11,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,none,2,0,0,0,TN,0.00033,0.0,0.00033,12,12,12,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,none,3,0,0,0,TN,0.000788,1e-06,0.000788,15,15,15,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,none,4,0,0,0,TN,0.000389,0.0,0.000389,13,13,13,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,none,5,0,0,0,TN,0.000357,0.0,0.000357,14,14,14,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,none,6,0,0,0,TN,0.000337,0.0,0.000337,12,12,12,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,none,7,0,0,0,TN,0.000176,0.0,0.000176,29,29,29,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_1,0,1,0,0,FN,0.000323,0.999354,0.000323,11,8,11,0,0,0,3
metrics,gated,metrics,ABCD,46,0.26,row_skip_1,1,1,0,0,FN,0.000429,0.999142,0.000429,13,11,13,0,0,0,2
metrics,gated,metrics,ABCD,46,0.26,row_skip_1,2,1,0,0,FN,0.000512,0.998977,0.000512,10,15,10,5,0,5,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_1,3,1,0,0,FN,0.000349,0.999302,0.000349,11,5,11,0,0,0,6
metrics,gated,metrics,ABCD,46,0.26,row_skip_1,4,1,0,0,FN,0.000541,0.998918,0.000541,13,16,13,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_1,5,1,0,0,FN,0.000666,0.998669,0.000666,17,16,17,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,row_skip_1,6,1,0,0,FN,0.00048,0.99904,0.00048,13,12,13,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,row_skip_1,7,1,0,0,FN,0.00042,0.99916,0.00042,9,10,9,1,0,1,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_2,0,1,0,0,FN,0.000529,0.998943,0.000529,14,17,14,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_2,1,1,0,0,FN,0.00038,0.99924,0.00038,14,15,14,1,0,1,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_2,2,1,0,0,FN,0.000248,0.999505,0.000248,16,13,16,0,0,0,3
metrics,gated,metrics,ABCD,46,0.26,row_skip_2,3,1,0,0,FN,0.000344,0.999313,0.000344,13,16,13,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_2,4,1,0,0,FN,0.000741,0.998518,0.000741,5,6,5,1,0,1,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_2,5,1,0,0,FN,0.000402,0.999196,0.000402,27,30,27,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_2,6,1,0,0,FN,0.00074,0.99852,0.00074,12,12,12,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,row_skip_2,7,1,0,0,FN,0.000359,0.999282,0.000359,10,10,10,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,early_full,0,1,0,0,FN,0.405355,0.353603,0.405355,18,35,18,17,0,17,0
metrics,gated,metrics,ABCD,46,0.26,early_full,1,1,0,0,FN,0.351594,0.42043,0.351594,13,34,13,21,0,21,0
metrics,gated,metrics,ABCD,46,0.26,early_full,2,1,0,0,FN,0.000385,0.99923,0.000385,10,9,10,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,early_full,3,1,0,0,FN,0.000651,0.998698,0.000651,9,11,9,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,early_full,4,1,0,0,FN,0.000678,0.998644,0.000678,9,12,9,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,early_full,5,1,0,0,FN,0.000573,0.998854,0.000573,7,13,7,6,0,6,0
metrics,gated,metrics,ABCD,46,0.26,early_full,6,1,0,0,FN,0.001937,0.99613,0.001937,14,19,14,5,0,5,0
metrics,gated,metrics,ABCD,46,0.26,early_full,7,1,0,0,FN,0.000393,0.999213,0.000393,10,10,10,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,boundary,0,1,0,0,FN,0.000608,0.998783,0.000608,8,6,8,0,0,0,2
metrics,gated,metrics,ABCD,46,0.26,boundary,1,1,0,0,FN,0.000519,0.998961,0.000519,8,10,8,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,boundary,2,1,0,0,FN,0.000351,0.999298,0.000351,14,14,14,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,boundary,3,1,0,0,FN,0.000292,0.999416,0.000292,15,14,15,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,boundary,4,1,0,0,FN,0.000314,0.999373,0.000314,14,10,14,0,0,0,4
metrics,gated,metrics,ABCD,46,0.26,boundary,5,1,0,0,FN,0.000512,0.998976,0.000512,11,11,11,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,boundary,6,1,0,0,FN,0.000352,0.999296,0.000352,13,12,13,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,boundary,7,1,0,0,FN,0.000336,0.999328,0.000336,14,10,14,0,0,0,4
metrics,gated,metrics,ABCD,46,0.26,short_local,0,1,0,0,FN,0.000266,0.999468,0.000266,16,18,16,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,short_local,1,1,0,0,FN,0.000665,0.998671,0.000665,7,6,7,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,short_local,2,1,0,0,FN,0.000454,0.999093,0.000454,8,7,8,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,short_local,3,1,0,0,FN,0.000258,0.999484,0.000258,17,17,17,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,short_local,4,1,0,0,FN,0.000759,0.998483,0.000759,10,12,10,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,short_local,5,1,0,0,FN,0.000459,0.999083,0.000459,11,13,11,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,short_local,6,1,0,0,FN,0.000495,0.999009,0.000495,9,11,9,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,short_local,7,1,0,0,FN,0.00068,0.998641,0.00068,6,8,6,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,whole_section,0,1,0,0,FN,0.000562,0.998876,0.000562,10,13,10,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,whole_section,1,1,0,0,FN,0.000233,0.999534,0.000233,18,16,18,0,0,0,2
