dataset,detector,policy,options,length,ability,mechanism,n,n_target,n_clean,tp_correct,tp_wrongloc,fp,fn,tn,power,recall_all,fpr,fpr_ci_upper,brier,mse,recovery,at_stake,saved,saved_sheets,unearned
sweep,gated,very_conservative,ABCD,46,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.000288,,0,0,8,0
sweep,gated,very_conservative,ABCD,46,0.55,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,0.926964,0.038492,0.0,36,0,8,1
sweep,gated,very_conservative,ABCD,46,0.55,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,0.902969,0.051936,0.0,68,0,8,0
sweep,gated,very_conservative,ABCD,46,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,0.972126,0.014522,0.0,33,0,8,0
sweep,gated,very_conservative,ABCD,46,0.55,scanner_blank_1,8,8,0,1,0,0,7,0,0.125,0.125,,,0.194941,0.708025,0.428571,28,12,8,4
sweep,gated,very_conservative,ABCD,46,0.55,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,0.970044,0.015349,0.0,31,0,8,4
sweep,gated,very_conservative,ABCD,46,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.101606,0.159374,,0,0,8,0
sweep,gated,very_conservative,ABCD,46,0.7,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,0.355483,0.626741,0.0,60,0,8,1
sweep,gated,very_conservative,ABCD,46,0.7,double_shift,8,8,0,2,0,0,6,0,0.25,0.25,,,0.354434,0.633931,0.272727,99,27,8,9
sweep,gated,very_conservative,ABCD,46,0.7,self_corrected,8,8,0,1,0,0,7,0,0.125,0.125,,,0.619173,0.327893,0.104167,48,5,8,0
sweep,gated,very_conservative,ABCD,46,0.7,scanner_blank_1,8,8,0,1,0,0,7,0,0.125,0.125,,,0.024209,0.909472,0.297297,37,11,8,1
sweep,gated,very_conservative,ABCD,46,0.7,whole_section,8,8,0,1,0,0,7,0,0.125,0.125,,,0.239412,0.731731,0.102941,68,7,8,3
sweep,gated,very_conservative,ABCD,46,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,4.7e-05,,0,0,8,0
sweep,gated,very_conservative,ABCD,46,0.85,row_skip_1,8,8,0,3,0,0,5,0,0.375,0.375,,,0.279867,0.687755,0.511628,86,44,8,8
sweep,gated,very_conservative,ABCD,46,0.85,double_shift,8,8,0,3,1,0,4,0,0.375,0.5,,,0.120221,0.876764,0.353982,113,40,8,0
sweep,gated,very_conservative,ABCD,46,0.85,self_corrected,8,8,0,6,0,0,2,0,0.75,0.75,,,0.120273,0.857476,0.6625,80,53,8,1
sweep,gated,very_conservative,ABCD,46,0.85,scanner_blank_1,8,8,0,1,0,0,7,0,0.125,0.125,,,0.052386,0.91835,0.377358,53,20,8,0
sweep,gated,very_conservative,ABCD,46,0.85,whole_section,8,8,0,2,0,0,6,0,0.25,0.25,,,0.249159,0.724852,0.338983,59,20,8,6
sweep,gated,very_conservative,ABCD,100,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.000239,,0,0,8,0
sweep,gated,very_conservative,ABCD,100,0.55,row_skip_1,8,8,0,1,2,0,5,0,0.125,0.375,,,0.62041,0.377307,0.701031,97,68,8,5
sweep,gated,very_conservative,ABCD,100,0.55,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,0.471944,0.465996,0.0,131,0,8,5
sweep,gated,very_conservative,ABCD,100,0.55,self_corrected,8,8,0,1,0,0,7,0,0.125,0.125,,,0.660605,0.263338,0.25,40,10,8,2
sweep,gated,very_conservative,ABCD,100,0.55,scanner_blank_1,8,8,0,1,0,0,7,0,0.125,0.125,,,0.116022,0.815623,0.571429,70,40,8,5
sweep,gated,very_conservative,ABCD,100,0.55,whole_section,8,8,0,1,2,0,5,0,0.125,0.375,,,0.438869,0.527056,0.353659,82,29,8,0
sweep,gated,very_conservative,ABCD,100,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.00013,0.004878,,0,0,8,0
sweep,gated,very_conservative,ABCD,100,0.7,row_skip_1,8,8,0,1,1,0,6,0,0.125,0.25,,,0.427568,0.538611,0.524752,101,53,8,0
sweep,gated,very_conservative,ABCD,100,0.7,double_shift,8,8,0,5,0,0,3,0,0.625,0.625,,,0.122479,0.876267,0.467532,231,108,8,0
sweep,gated,very_conservative,ABCD,100,0.7,self_corrected,8,8,0,2,0,0,6,0,0.25,0.25,,,0.265753,0.638636,0.253333,75,19,8,0
sweep,gated,very_conservative,ABCD,100,0.7,scanner_blank_1,8,8,0,6,0,0,2,0,0.75,0.75,,,3.1e-05,0.99801,0.825137,183,151,8,0
sweep,gated,very_conservative,ABCD,100,0.7,whole_section,8,8,0,5,1,0,2,0,0.625,0.75,,,0.12279,0.871913,0.676259,139,94,8,2
